Order_ID,Product_ID,User_ID,Order_Date,Return_Date,Product_Category,Product_Price,Order_Quantity,Return_Reason,Return_Status,Days_to_Return,User_Age,User_Gender,User_Location,Payment_Method,Shipping_Method,Discount_Applied,Region,Marketing_Channel,Customer_Tenure_Months,Product_Returnable,High_Return_Risk_Flag,Order_Weekday,Order_Month,Return_Label,Product_Margin,CLV_Estimate,Is_Weekend_Order,Return_Probability
ORD00000000,PROD00000000,USER00000000,2023-08-05,2024-08-26,Clothing,411.59,3,Changed mind,Returned,387.0,58,Male,City54,Debit Card,Next-Day,45.27,East,Referral,57,1,1,Saturday,8,1,366.32,5865.1575,1,0.5294309592226311
ORD00000001,PROD00000001,USER00000001,2023-10-09,2023-11-09,Books,288.88,3,Wrong item,Returned,31.0,68,Female,City85,Credit Card,Express,47.79,North,Email,29,0,0,Monday,10,1,241.09,2094.38,0,0.5347943095352228
ORD00000002,PROD00000002,USER00000002,2023-05-06,,Toys,390.03,5,No Return,Not Returned,0.0,22,Female,City30,Debit Card,Next-Day,26.64,East,Referral,25,0,0,Saturday,5,0,363.39,4062.8125,1,0.5114752947735869
ORD00000003,PROD00000003,USER00000003,2024-08-29,,Toys,401.09,3,No Return,Not Returned,0.0,40,Male,City95,PayPal,Next-Day,15.37,East,Social Media,21,0,0,Thursday,8,0,385.72,2105.7225,0,0.48890743322024005
ORD00000004,PROD00000004,USER00000004,2023-01-16,,Books,110.09,4,No Return,Not Returned,0.0,34,Female,City80,Gift Card,Standard,16.37,Central,Email,46,0,0,Monday,1,0,93.72,1688.0466666666669,0,0.5023780731438939
ORD00000005,PROD00000005,USER00000005,2024-02-14,2024-09-22,Electronics,252.12,1,Defective,Returned,221.0,46,Female,City47,Debit Card,Next-Day,47.61,Central,Direct Traffic,3,1,0,Wednesday,2,1,204.51,63.03,0,0.5374487078625412
ORD00000006,PROD00000006,USER00000006,2023-05-29,2023-08-03,Clothing,382.89,2,Wrong item,Returned,66.0,25,Male,City50,Credit Card,Express,28.49,West,SEO,18,1,1,Monday,5,1,354.4,1148.67,0,0.5030897886487914
ORD00000007,PROD00000007,USER00000007,2023-02-09,2024-08-01,Electronics,306.39,3,Not as described,Returned,539.0,67,Female,City39,Credit Card,Express,38.91,South,Referral,24,1,0,Thursday,2,1,267.48,1838.34,0,0.5231246296028631
ORD00000008,PROD00000008,USER00000008,2024-12-25,2024-09-25,Home,302.4,5,Defective,Returned,-91.0,54,Male,City81,Debit Card,Standard,18.5,North,SEO,47,1,0,Wednesday,12,1,283.9,5922.0,0,0.5092581468616226
ORD00000009,PROD00000009,USER00000009,2023-03-10,2024-01-21,Clothing,294.94,3,Not as described,Returned,317.0,44,Male,City82,Credit Card,Standard,45.21,Central,SEO,38,1,1,Friday,3,1,249.73,2801.93,0,0.5312006800008323
ORD00000010,PROD00000010,USER00000010,2024-05-26,,Toys,119.0,2,No Return,Not Returned,0.0,70,Female,City41,Credit Card,Next-Day,8.72,North,Email,10,0,0,Sunday,5,0,110.28,198.33333333333331,1,0.4984067929492447
ORD00000011,PROD00000011,USER00000011,2024-02-08,,Home,480.48,4,No Return,Not Returned,0.0,54,Male,City22,Gift Card,Next-Day,0.27,West,SEO,27,1,0,Thursday,2,0,480.21,4324.32,0,0.47228646771654686
